id,denominazione,tipologia,indirizzo,quartiere,classificazione,posti_letto,camere,stato,tariffa_min,tariffa_max,lat,lon,data_inizio_attivita,comune
353,B&B TENUTA LI MARITATI,bed_and_breakfast,VIA  LO PAPA,SANTA ROSA,,2,2,ATTIVO,150.0,,,,,Comune di Lecce
354,B&B BAROQUE,bed_and_breakfast,VIA  TARANTO,RUDIAE - SAN PIO,,4,5,ATTIVO,180.0,,,,,Comune di Lecce
355,B&B MASSERIA PARALUPI,bed_and_breakfast,VIA  TINTORETTO,LEUCA,,5,10,ATTIVO,320.0,,,,,Comune di Lecce
356,B&B PALAZZO SALIA,bed_and_breakfast,VIA CARLO RUSSI,CENTRO,,3,9,ATTIVO,120.0,,,,,Comune di Lecce
357,B&B CASA VACANZE LECCE MAZZINI,bed_and_breakfast,VIA  CAMPANIA,MAZZINI,,1,4,ATTIVO,160.0,,,,,Comune di Lecce
358,B&B BATTISTI ROOMS & BREAKFAST,bed_and_breakfast,VIA CESARE BATTISTI,MAZZINI,,3,13,ATTIVO,200.0,,,,,Comune di Lecce
359,B&B HELIANTUS ROOMS,bed_and_breakfast,VIA ENRICO ERRIQUEZ,RUDIAE - SAN PIO,,3,8,ATTIVO,150.0,,,,,Comune di Lecce
360,B&B LO SCRIGNO BAROCCO,bed_and_breakfast,VICO CONSERVATORIO SAN LEONARDO,CENTRO,,,,ATTIVO,,,,,,Comune di Lecce
361,B&B LA VOLTA,bed_and_breakfast,VIA  PANTELLERIA,LEUCA,,1,2,ATTIVO,120.0,,,,,Comune di Lecce
362,B&B A DUE PASSI DAL DUOMO - BNB,bed_and_breakfast,VIA GUGLIELMO PALADINI,CENTRO,,2,4,ATTIVO,80.0,,,,,Comune di Lecce
363,B&B ATTICO BAROCCO,bed_and_breakfast,VIA GIACOMO MATTEOTTI,CENTRO,,4,16,ATTIVO,350.0,,,,,Comune di Lecce
364,B&B IL CORTILE DELLE SPERIDI,bed_and_breakfast,VIA GIUSEPPE CANDIDO,LEUCA,,4,17,ATTIVO,180.0,,,,,Comune di Lecce
365,B&B THE GARDEN VIEW NEAR THE SEA,bed_and_breakfast,VIA DELLA BECCACCIA,CONTESTO DELL'ENTROTERRA COSTIERO,,1,2,ATTIVO,100.0,,,,,Comune di Lecce
366,B&B ALLA LUCE DEL BAROCCO,bed_and_breakfast,VIA DI LEUCA,LEUCA,,3,8,ATTIVO,150.0,,,,,Comune di Lecce
367,B&B AI RAGGI DI SOLE,bed_and_breakfast,VIA DI LEUCA,LEUCA,,3,8,ATTIVO,210.0,,,,,Comune di Lecce
368,ILICE B&B,bed_and_breakfast,VIA FABIO FILZI,MAZZINI,,5,11,ATTIVO,250.0,,,,,Comune di Lecce
369,B&B ANTICA VILLA LA VIOLA,bed_and_breakfast,VIALE  MARCHE,LEUCA,,1,2,ATTIVO,150.0,,,,,Comune di Lecce
370,B&B LU CUCCUVIU TE LECCE,bed_and_breakfast,VIA FILIPPO CORRIDONI,MAZZINI,,1,2,ATTIVO,160.0,,,,,Comune di Lecce
371,B&B CASA DEL SOLE,bed_and_breakfast,VIA VECCHIA CARMIANO,FERROVIA – CASERMETTE,,2,4,ATTIVO,90.0,,,,,Comune di Lecce
372,B&B  FELICE SUD,bed_and_breakfast,VIA ROCCO SCOTELLARO,SALESIANI,,2,5,ATTIVO,300.0,,,,,Comune di Lecce
373,B&B GALATEO,bed_and_breakfast,VIA BRUNO CANTOBELLI,LEUCA,,,,ATTIVO,55.0,,,,,Comune di Lecce
374,B&B BINARIO9,bed_and_breakfast,VIA DON BOSCO,FERROVIA - CASERMETTE,,4,9,ATTIVO,330.0,,,,,Comune di Lecce
375,B&B IL GIARDINO DELLA SCUNCERTA,bed_and_breakfast,VIA GIOVANNI ANDREA COPPOLA,LEUCA,,4,13,ATTIVO,250.0,,,,,Comune di Lecce
376,B&B DIMORA GENTILE,bed_and_breakfast,VIALE GIOACCHINO ROSSINI,LEUCA,,3,7,ATTIVO,250.0,,,,,Comune di Lecce
377,B&B SANTA CROCE SUITE & GARDEN,bed_and_breakfast,VIA PIETRO BELLI,CENTRO,,,,ATTIVO,150.0,,,,,Comune di Lecce
378,B&B LECCE FITNESS HOUSE,bed_and_breakfast,VIA NICOLA VACCA,SALESIANI,,,,ATTIVO,100.0,,,,,Comune di Lecce
379,B&B EUFONIA,bed_and_breakfast,VIA ARRIGO BOITO,LEUCA,,3,6,ATTIVO,200.0,,,,,Comune di Lecce
380,B&B MAISON PATRICIA,bed_and_breakfast,VIA FORMOSO LUBELLO,SANTA ROSA,,2,3,ATTIVO,,,,,,Comune di Lecce
381,B&B CIVICO 49,bed_and_breakfast,VIA DUCA DEGLI ABRUZZI,CENTRO,,5,14,ATTIVO,120.0,,,,,Comune di Lecce
382,B&B IRIS,bed_and_breakfast,VIA ACHILLE DANIELE,SALESIANI,,4,1,ATTIVO,,,,,,Comune di Lecce
383,B&B VILLA LECCE,bed_and_breakfast,VIA VILLA BELLAVISTA,FERROVIA - CASERMETTE,,3,6,ATTIVO,135.0,,,,,Comune di Lecce
384,B&B LECCE MON AMOUR,bed_and_breakfast,VIA GIUSEPPE MANTOVANO,MAZZINI,,3,7,ATTIVO,160.0,,,,,Comune di Lecce
385,B&B NUANCE SUITE & ROOMS,bed_and_breakfast,VIA  SAN LAZZARO,MAZZINI,,4,8,ATTIVO,150.0,,,,,Comune di Lecce
386,B&B CORTE DEI MEMOLI,bed_and_breakfast,CORTE DEI MEMOLI,CENTRO,,2,7,ATTIVO,60.0,,,,,Comune di Lecce
387,B&B SUITE TORRE SAN GIORGIO,bed_and_breakfast,CORTE DELLA CAPPELLA SAN GIORGIO DI BARLIERA,CENTRO,,1,2,ATTIVO,250.0,,,,,Comune di Lecce
388,B&B LUZ DE SALENTO,bed_and_breakfast,VIA PIETRO MICHELI,SALESIANI,,5,12,ATTIVO,70.0,,,,,Comune di Lecce
389,B&B LE TERRICATE,bed_and_breakfast,VIA  LAZIO,LEUCA,,2,4,ATTIVO,400.0,,,,,Comune di Lecce
390,B&B APULIA CONCEPT,bed_and_breakfast,VIA CESARE BATTISTI,MAZZINI,,5,13,ATTIVO,300.0,,,,,Comune di Lecce
391,B&B IL RIFUGIO DEI KAPONIK,bed_and_breakfast,VIA ERMENEGILDO PERSONE',CENTRO,,4,12,ATTIVO,300.0,,,,,Comune di Lecce
392,B&B BIRAGO DI GIURGOLA FRANCESCO,bed_and_breakfast,VIA DALMAZIO BIRAGO,RUDIAE - SAN PIO,,5,12,ATTIVO,140.0,,,,,Comune di Lecce
393,B&B VILLA DELLA LUPA,bed_and_breakfast,VIALE VENTICINQUE LUGLIO,CENTRO,,3,7,ATTIVO,180.0,,,,,Comune di Lecce
394,B&B 900 DI MIRKO GUADAGNO,bed_and_breakfast,VIA  NOVANTACINQUESIMO REGGIMENTO FANTERIA,MAZZINI,,3,6,ATTIVO,70.0,,,,,Comune di Lecce
395,B&B SANT'ORONZO,bed_and_breakfast,VIA RICHEL RUBICHI,CENTRO,,3,9,ATTIVO,50.0,,,,,Comune di Lecce
396,B&B TERRAZZA SAN GIUSTO,bed_and_breakfast,VIA  IDOMENEO,CENTRO,,,,ATTIVO,,,,,,Comune di Lecce
397,B&B PALAZZO EMU,bed_and_breakfast,VIA DEGLI STAMPACCHIA,LEUCA,,2,6,ATTIVO,150.0,,,,,Comune di Lecce
398,B&B LECCE MARANT DI ANTONIO MANNO,bed_and_breakfast,VIA VITTORIO TONDI,SAN SABINO,,,,ATTIVO,,,,,,Comune di Lecce
399,B&B PREZIOSO SUITE & ROOMS,bed_and_breakfast,VIA GABRIELE D'ANNUNZIO,SALESIANI,,4,6,ATTIVO,180.0,,,,,Comune di Lecce
400,B&B GIARDINI DI MARZO,bed_and_breakfast,VIA GUIDO CAVALCANTI,SANTA ROSA,,5,15,ATTIVO,350.0,,,,,Comune di Lecce
401,B&B VALIGIA BED&GO,bed_and_breakfast,VIA CASALE BAGNARA,RUDIAE - SAN PIO,,2,2,ATTIVO,90.0,,,,,Comune di Lecce
402,GREEN-HOUSE B&B LECCE,bed_and_breakfast,VIA DI PORCIGLIANO,SALESIANI,,3,9,ATTIVO,150.0,,,,,Comune di Lecce
403,B&B VITTORIA HOME,bed_and_breakfast,VIA COLONNELLO ARCHIMEDE COSTADURA,SANTA ROSA,,2,4,ATTIVO,300.0,,,,,Comune di Lecce
404,B&B SEPTEMBER SUITE,bed_and_breakfast,VIA  VENTI SETTEMBRE,LEUCA,,2,6,ATTIVO,150.0,,,,,Comune di Lecce
405,B&B VILLA GENNY,bed_and_breakfast,VIA FLAVIO GIOIA,FRAZIONE SAN CATALDO,,3,8,ATTIVO,100.0,,,,,Comune di Lecce
406,B&B LI CETTI,bed_and_breakfast,VIALE  MARCHE,LEUCA,,,,ATTIVO,,,,,,Comune di Lecce
407,B&B A CASA DI GIO',bed_and_breakfast,VIALE GIUSEPPE GRASSI,FERROVIA - CASERMETTE,,2,6,ATTIVO,110.0,,,,,Comune di Lecce
408,B&B DOMUS GAIA,bed_and_breakfast,VIA FERRANTE D'ARAGONA,CENTRO,,2,8,ATTIVO,150.0,,,,,Comune di Lecce
409,B&B DIMORA DONNA RITA,bed_and_breakfast,VIA FRANCO PERULLI,CONTESTO RUDIAE VILLACONVENTO,,3,7,ATTIVO,120.0,,,,,Comune di Lecce
410,B&B DIMORA GIUSTI,bed_and_breakfast,VIA GIUSEPPE GIUSTI,MAZZINI,,4,12,ATTIVO,250.0,,,,,Comune di Lecce
411,B&B GIRASALENTO.IT,bed_and_breakfast,VIA  AVELLINO,SAN SABINO,,2,8,ATTIVO,200.0,,,,,Comune di Lecce
412,B&B DUE CUORI LUXURY HOUSE,bed_and_breakfast,VIA DI VALESIO,RUDIAE - SAN PIO,,1,2,ATTIVO,300.0,,,,,Comune di Lecce
413,B&B MS ROOMS,bed_and_breakfast,VIA  ADRIATICA,SANTA ROSA,,3,6,ATTIVO,100.0,,,,,Comune di Lecce
414,B&B DA GINO,bed_and_breakfast,VIA VECCHIA SURBO,RUDIAE - SAN PIO,,3,13,ATTIVO,75.0,,,,,Comune di Lecce
415,B&B MESCIU CESARE,bed_and_breakfast,VIA MARTINO MARINOSCI,SALESIANI,,2,4,ATTIVO,150.0,,,,,Comune di Lecce
416,B&B CAPPERI HOUSE,bed_and_breakfast,VIA  QUARANTASETTESIMO REGGIMENTO FANTERIA,MAZZINI,,3,6,ATTIVO,150.0,,,,,Comune di Lecce
417,B&B MASSERIA CARETTI VECCHIA,bed_and_breakfast,STRADA PROVINCIALE  236 SURBO – CASALABATE,CONTESTO DI SANTA MARIA CERRATE,,1,2,ATTIVO,100.0,,,,,Comune di Lecce
418,B&B L'ASTRO BLU,bed_and_breakfast,VIA LUIGI MAGGIULLI,SANTA ROSA,,3,9,ATTIVO,150.0,,,,,Comune di Lecce
419,B&B A CASA DI PAOLA,bed_and_breakfast,VIA CESARE BATTISTI,MAZZINI,,2,9,ATTIVO,80.0,,,,,Comune di Lecce
420,B&B CASA Q BNB,bed_and_breakfast,VIALE  GALLIPOLI,CENTRO,,3,6,ATTIVO,150.0,,,,,Comune di Lecce
421,B&B VILLA GRAZIA,bed_and_breakfast,VIA GOFFREDO MAMELI,RUDIAE - SAN PIO,,2,4,ATTIVO,80.0,,,,,Comune di Lecce
422,B&B CAMINANTI DI DANILO RIZZO,bed_and_breakfast,VICO DEL PITTACIO,CENTRO,,3,8,ATTIVO,90.0,,,,,Comune di Lecce
423,B&B LE QUATTRO PORTE,bed_and_breakfast,VIA  CAVOUR,CENTRO,,5,8,ATTIVO,,,,,,Comune di Lecce
424,B&B SAN PIO SUITES,bed_and_breakfast,VIA DELLE ANIME,RUDIAE - SAN PIO,,3,6,ATTIVO,,,,,,Comune di Lecce
425,B&B DIMORA DEGLI ARTISTI,bed_and_breakfast,VIA  GORIZIA,RUDIAE - SAN PIO,,,,ATTIVO,,,,,,Comune di Lecce
426,B&B MARMUR LUXURY ROOM,bed_and_breakfast,VIA RICHEL RUBICHI,CENTRO,,3,7,ATTIVO,,,,,,Comune di Lecce
427,B&B CORTE DEI LUBELLI,bed_and_breakfast,CORTE DEI LUBELLI,CENTRO,,,,ATTIVO,,,,,,Comune di Lecce
428,B&B ROSITA ROOMS,bed_and_breakfast,VIA  SANTA MARIA DELL'IDRIA,FERROVIA - CASERMETTE,,7,3,ATTIVO,,,,,,Comune di Lecce
429,B&B BAROCCO SUITE,bed_and_breakfast,VIA COLONNELLO ARCHIMEDE COSTADURA,SALESIANI,,5,10,ATTIVO,60.0,,,,,Comune di Lecce
430,B&B KABALA BED AND BREAKFAST,bed_and_breakfast,VIA  IDOMENEO,CENTRO,,3,6,ATTIVO,,,,,,Comune di Lecce
431,B&B LA FONTANELLA,bed_and_breakfast,VIA  EMILIA,LEUCA,,,,ATTIVO,,,,,,Comune di Lecce
432,B&B PALAZZO CAVOUR,bed_and_breakfast,VIA  CAVOUR,CENTRO,,,,ATTIVO,,,,,,Comune di Lecce
433,B&B HABITARE DI MONICA FABBRI,bed_and_breakfast,VIA DI VASTE,RUDIAE - SAN PIO,,5,10,ATTIVO,,,,,,Comune di Lecce
434,31 GIRAVOLTE,casa_vacanza,VIA DELLE GIRAVOLTE 31,,,,,ATTIVO,,,,,,Comune di Lecce
435,8+ HOTEL,albergo,VIALE RISORGIMENTO,,4,,,ATTIVO,,,,,,Comune di Lecce
436,A CASA DI GIULIA,affittacamere,VIA NUZZO BARBA 2,,,,,ATTIVO,,,,,,Comune di Lecce
437,AFFITTACAMERE LA BELLA LECCE,affittacamere,VIA E. REALE 1,,,,,ATTIVO,,,,,,Comune di Lecce
438,APOLLO SUITES,affittacamere,PIAZZA GIUSEPPE LIBERTINI 11,,,,,ATTIVO,,,,,,Comune di Lecce
439,ARCO,affittacamere,VIA QUINTO FABIO BALBO. 5 - 2°PIANO,,,,,ATTIVO,,,,,,Comune di Lecce
440,ARCO SUITE,affittacamere,VIA SANTA MARIA DEI VETERANI 2,,,,,ATTIVO,,,,,,Comune di Lecce
441,ARCO VECCHIO,affittacamere,VIA QUINTO FABIO BALBO. 5 - P.T. E 1°PIANO,,,,,ATTIVO,,,,,,Comune di Lecce
442,ARTHOTEL & PARK,albergo,"VIA DE CHIRICO. 1 - LOC.""MASSERIA LA PEZZA""",,4,,,ATTIVO,,,,,,Comune di Lecce
443,BAROCCO DREAM,casa_vacanza,CORTE VOLTURIO 1,,,,,ATTIVO,,,,,,Comune di Lecce
444,BED-SALENTO.COM,affittacamere,VIA CARLO RUSSI 40,,,,,ATTIVO,,,,,,Comune di Lecce
445,BREAK - BREAK APARTMENTS,affittacamere,VIA ORONZO MASSA 3/5,,,,,ATTIVO,,,,,,Comune di Lecce
446,CAMPING VILLAGE TORRE RINALDA,campeggio,LITORANEA SALENTINA,TORRE RINALDA,4,,,ATTIVO,,,,,,Comune di Lecce
447,CASA DALMAZIA,casa_vacanza,VIA DALMAZIA 5,,,,,ATTIVO,,,,,,Comune di Lecce
448,CASA DEI MERCANTI,affittacamere,VICO DEGLI STORELLA. 13,,,,,ATTIVO,,,,,,Comune di Lecce
449,CASA DEI MERCANTI,casa_vacanza,VICO DEGLI STORELLA. 13,,,,,ATTIVO,,,,,,Comune di Lecce
450,CASA DEL CLERO,residence,VIA UMBRIA,,,,,ATTIVO,,,,,,Comune di Lecce
451,CASA FERRANTE,affittacamere,VIA FERRANTE D'ARAGONA N.12/A,,,,,ATTIVO,,,,,,Comune di Lecce
452,CASA VACANZA COLORINSALENTO,casa_vacanza,CORTE DEI TARALLI. 2,,,,,ATTIVO,,,,,,Comune di Lecce
453,CASA VACANZA RABBONI LUCIA,casa_vacanza,CORTE DEI TARALLI. 3,,,,,ATTIVO,,,,,,Comune di Lecce
454,CASA VACANZE SANT'ORONZO,residence,PIAZZA SANT'ORONZO 8,,,,,ATTIVO,,,,,,Comune di Lecce
455,CASAVACANZE SANTERINA,casa_vacanza,CORTE SANT'IRENE 7-9,,,,,ATTIVO,,,,,,Comune di Lecce
456,CENTRO STORICO,affittacamere,VIA ANDREA VIGNES 2,,,,,ATTIVO,,,,,,Comune di Lecce
457,COMPAGNIA DEL SALENTO,affittacamere,VIA COSIMO DI PALMA 9,,,,,ATTIVO,,,,,,Comune di Lecce
458,CORTE DELL'ELCE,affittacamere,VIA LUIGI SCARAMBONE 49,,,,,ATTIVO,,,,,,Comune di Lecce
459,CORTE REALE,affittacamere,VIA REDIPUGLIA 19,,,,,ATTIVO,,,,,,Comune di Lecce
460,DE' GUIDANI HOLIDAYS EXPERIENCE,casa_vacanza,VIA LEUCA 72,,,,,ATTIVO,,,,,,Comune di Lecce
461,DELLA TORRE ROOMS,affittacamere,VIA ALESSANDRO MANZONI 18,,,,,ATTIVO,,,,,,Comune di Lecce
462,DIMORA ATENEO 1,casa_vacanza,VIALE DELL'UNIVERSITA' 57 INT. 1,,,,,ATTIVO,,,,,01/08/2018,Comune di Lecce
463,DIMORA ATENEO 2,casa_vacanza,VIALE DELL'UNIVERSITA' 57,,,,,ATTIVO,,,,,,Comune di Lecce
464,DIMORA SAN LEUCIO,affittacamere,VIA ABRAMO BALMES 8,,,,,ATTIVO,,,,,,Comune di Lecce
465,DOMUS SALENTO SUITES & APARTMENT,affittacamere,VIALE MARCHE 17,,,,,ATTIVO,,,,,,Comune di Lecce
466,DON GIULIANO,casa_vacanza,VICO DEL SOLE 1,,,,,ATTIVO,,,,,,Comune di Lecce
467,DUCA,affittacamere,VIA DUCA DEGLI ABRUZZI 81,,,,,ATTIVO,,,,,,Comune di Lecce
468,ECOHOUSING,affittacamere,VIA FABIO FILZI N.12,,,,,ATTIVO,,,,,,Comune di Lecce
469,EMMANUEL,affittacamere,STRADA PROV.LE LECCE/NOVOLI N.23,,,,,ATTIVO,,,,,,Comune di Lecce
470,FUORI LE MURA,casa_vacanza,VIA VECCHIA SAN PIETRO IN LAMA 99,,,,,ATTIVO,,,,,,Comune di Lecce
471,GRAND HOTEL DI LECCE,albergo,VIALE ORONZO QUARTA. 28,,4,,,ATTIVO,,,,,,Comune di Lecce
472,GRAND HOTEL TIZIANO E DEI CONGRESSI,albergo,INIZIO SUPERSTRADA LE/BR,,4,,,ATTIVO,,,,,,Comune di Lecce
473,HAPPY APARTMENT,affittacamere,VIA DUCA DEGLI ABRUZZI 67,,,,,ATTIVO,,,,,,Comune di Lecce
474,HOTEL DELLE PALME,albergo,VIA LEUCA. 90,,4,,,ATTIVO,,,,,,Comune di Lecce
475,HOTEL EOS,albergo,VIA ALFIERI. 11 ANG. VIA BOLZANO,,3,,,ATTIVO,,,,,,Comune di Lecce
476,HOTEL HILTON GARDEN INN,albergo,VIA COSIMO DE GIORGI 62,,4,,,ATTIVO,,,,,,Comune di Lecce
477,HOTEL MASSERIA & SPA LUCIAGIOVANNI,albergo,VIA CALIÒ,TORRE VENERI,4,,,ATTIVO,,,,,,Comune di Lecce
478,HOTEL MASSERIA COCCIOLI,residence,VIA G. MONTICELLI 17,,3,,,ATTIVO,,,,,,Comune di Lecce
479,HOTEL PRESIDENT,albergo,VIA SALANDRA. 6,,4,,,ATTIVO,,,,,,Comune di Lecce
480,HOTEL ZENIT,albergo,VIA ADRIATICA. 141/B ANG. VIA FERRANDO,,4,,,ATTIVO,,,,,,Comune di Lecce
481,HOUSENERGY,casa_vacanza,VIA TOLOMEO 4/6,SAN CATALDO,,,,ATTIVO,,,,,,Comune di Lecce
482,IL CANTUCCIO,casa_vacanza,VIA MINNITI 15 P2,,,,,ATTIVO,,,,,,Comune di Lecce
483,IL GIARDINO DELLE MARGHERITE,affittacamere,VIA DI VASTE 9,,,,,ATTIVO,,,,,,Comune di Lecce
484,IL GIARDINO DI SYBAR,affittacamere,VICO STORTO CARITA' VECCHIA 28,,,,,ATTIVO,,,,,,Comune di Lecce
485,IL PALAZZOTTO,affittacamere,VIA DI VALESIO 91,,,,,ATTIVO,,,,,,Comune di Lecce
486,IL PALAZZOTTO,residence,VIA POZZUOLO 31 ANGOLO VIA DI VALESIO 93,,,,,ATTIVO,,,,,,Comune di Lecce
487,IMBRIANI 24,affittacamere,VIA SALANDRA 15,,,,,ATTIVO,,,,,,Comune di Lecce
488,LA CASA DEL SOLE,casa_vacanza,VIA PIETRO MICHELI 19,,,,,ATTIVO,,,,,,Comune di Lecce
489,LA CASA DI GIOVANNI,affittacamere,VIA REDIPUGLIA 19,,,,,ATTIVO,,,,,,Comune di Lecce
490,LA FIERMONTINA URBAN RESORT IN LECCE,albergo,PIAZZETTA SCIPIONE DE SUMMA 4,,,,,ATTIVO,,,,,,Comune di Lecce
491,LA MONACA SALENTINA,affittacamere,VICO SAN GIUSTO,LECCE,,,,ATTIVO,,,,,,Comune di Lecce
492,LE BARCHETTE,residence,VIALE CRISTOFORO COLOMBO,SAN CATALDO,,,,ATTIVO,,,,,,Comune di Lecce
493,LE BIFORE CHARMING HOUSE,affittacamere,VICO DEI FIESCHI N.16,,,,,ATTIVO,,,,,,Comune di Lecce
494,LE CAMPANELLE DI ISABELLA,casa_vacanza,VIA ISABELLA CASTRIOTA 2B,,,,,ATTIVO,,,,,,Comune di Lecce
495,LE CLUB,albergo,VIA REGINA ISABELLA 2,,,,,ATTIVO,,,,,,Comune di Lecce
496,LE DUE MUSCE,casa_vacanza,VIA IDOMENEO 20,,,,,ATTIVO,,,,,,Comune di Lecce
497,LECCE MON AMOUR,affittacamere,VIA GIUSEPPE MANTOVANO 8,,,,,ATTIVO,,,,,,Comune di Lecce
498,LECCECENTRO,affittacamere,VIA PIETRO PALUMBO. 16,,,,,ATTIVO,,,,,,Comune di Lecce
499,LECCELSIOR,affittacamere,VIA COTA 20,,,,,ATTIVO,,,,,,Comune di Lecce
500,LEONE DI MESSAPIA - HOTEL & CONFERENCE,albergo,VIA PROV.LE LECCE/CAVALLINO. 32,,4,,,ATTIVO,,,,,,Comune di Lecce
501,LIDO SMERALDO,casa_vacanza,VIA LUNGOMARE,FRIGOLE,,,,ATTIVO,,,,,,Comune di Lecce
502,MAISON MIMI',affittacamere,VIA MARCO AURELIO 18/B,,,,,ATTIVO,,,,,,Comune di Lecce
503,MASSERIA TRAPANÀ,affittacamere,S.P. LECCE-SURBO KM.2,TRAPANA' GRANDE,,,,ATTIVO,,,,,,Comune di Lecce
504,MASSERIA TRAPANÀ,casa_vacanza,S.P.236 LECCE-SURBO,LOCALITA' TRAPANA' GRANDE,,,,ATTIVO,,,,,,Comune di Lecce
505,MC HOTEL,casa_vacanza,VIA PRINCIPI DI SAVOIA 41/A,,,,,ATTIVO,,,,,,Comune di Lecce
506,MOTEL ALOISI,albergo,VIA TARANTO. 297,,3,,,ATTIVO,,,,,,Comune di Lecce
507,MYAVACANZE,casa_vacanza,PIAZZETTA DEI LONGOBARDI 4,,,,,ATTIVO,,,,,,Comune di Lecce
508,NIDI DI FEO,affittacamere,VIA ADRIATICA. 128,,,,,ATTIVO,,,,,,Comune di Lecce
509,OSTELLO DEL SOLE,ostello,VIA VESPUCCI,SAN CATALDO,2^ CATEGORIA,,,ATTIVO,,,,,,Comune di Lecce
510,PALAZZO BELSANTI,affittacamere,VIALE DELL'UNIVERSITA' 63,,,,,ATTIVO,,,,,,Comune di Lecce
511,PALAZZO DE NOHA,albergo,VIA G. PALADINI 47,,4,,,ATTIVO,,,,,,Comune di Lecce
512,PALAZZO DEI DONDOLI RESIDENCE,residence,VIA SOZY CARAFA 20/A,,,,,ATTIVO,,,,,,Comune di Lecce
513,PALAZZO DEL CENTRO GUEST HOUSE,affittacamere,VIA DEGLI ANTOGLIETTA 19/A,,,,,ATTIVO,,,,,,Comune di Lecce
514,PALAZZO MASSARI ROOMS,affittacamere,VIALE ORONZO QUARTA 18,,,,,ATTIVO,,,,,,Comune di Lecce
515,PALAZZO PERSONE',affittacamere,VIA UMBERTO I 7,,,,,ATTIVO,,,,,,Comune di Lecce
516,PALAZZO ROLLO RESIDENCE,residence,VIA V.EMANUELE. 14,,,,,ATTIVO,,,,,,Comune di Lecce
517,PASTOR BONUS,casa_per_ferie,VIA P.STOMEO. 9,,,,,ATTIVO,,,,,,Comune di Lecce
518,PATRIA PALACE HOTEL,albergo,PIAZZETTA RICCIARDI. 13,,5,,,ATTIVO,,,,,,Comune di Lecce
519,PERLA HOTEL,albergo,VIA LUNGOMARE NORD,CASALABATE,3,,,ATTIVO,,,,,,Comune di Lecce
520,RACAR RESIDENCE,albergo,VIALE RACAR. 25,FRIGOLE,3,,,ATTIVO,,,,,,Comune di Lecce
521,RESIDENCE DEI LILLÀ,residence,VIA DEI LILLÀ 3,TORRE CHIANCA,,,,ATTIVO,,,,,,Comune di Lecce
522,RESIDENCE EUPHORBIA,residence,VIA DALMAZIO BIRAGO 77 79A,,,,,ATTIVO,,,,,,Comune di Lecce
523,RESIDENCE IL CORTILE DELLE ESPERIDI,residence,VIA G. CANDIDO N.20,,,,,ATTIVO,,,,,,Comune di Lecce
524,RESIDENCE LUPIAE,residence,VIA GUGLIELMOTTO D'OTRANTO. 42,,2,,,ATTIVO,,,,,,Comune di Lecce
525,RESIDENZA TORRE RINALDA,villaggio_turistico,VIA DEI CROSTACEI 1,TORRE RINALDA,,,,ATTIVO,,,,,,Comune di Lecce
526,RISORGIMENTO RESORT,albergo,VIA A.IMPERATORE. 19,,5L,,,ATTIVO,,,,,,Comune di Lecce
527,ROOMS IL CORTILE DELLE ESPERIDI,affittacamere,VIA G. CANDIDO N.20,,,,,ATTIVO,,,,,,Comune di Lecce
528,SALENTO LIVING APPARTMENTS,residence,VICO DEI NOHI 1,,,,,ATTIVO,,,,,,Comune di Lecce
529,SALENTO RESIDENCE,residence,VIA CASTELLAMMARE ANG. VIA PIGAFETTA,SAN CATALDO,,,,ATTIVO,,,,,,Comune di Lecce
530,SALENTO VILLAGE & RESIDENCE,residence,VIA VIETRI SNC,SAN CATALDO,3,,,ATTIVO,,,,,,Comune di Lecce
531,SANTA ROSA GUEST HOUSE,affittacamere,VIA PO 3,,,,,ATTIVO,,,,,,Comune di Lecce
532,SANTACROCE LUXURY ROOMS,affittacamere,P.ZZA RICCARDI 11,,,,,ATTIVO,,,,,,Comune di Lecce
533,SIRIO,affittacamere,VIA LEUCA. 22,,,,,ATTIVO,,,,,,Comune di Lecce
534,SOL,affittacamere,VIA TEMPLARI 11,,,,,ATTIVO,,,,,,Comune di Lecce
535,SPIAGGIABELLA RESORT - PARCO DEL RAUCCIO,residence,VIA PORTO D'ERCOLE,SPIAGGIABELLA,3,,,ATTIVO,,,,,,Comune di Lecce
536,STANZE DEL SALENTO,affittacamere,VIA CARLO RUSSI 38,,,,,ATTIVO,,,,,,Comune di Lecce
537,SUITE DELLA VILLA,casa_vacanza,VIA PREMUDA 8,,,,,ATTIVO,,,,,,Comune di Lecce
538,SUITE HOTEL SANTA CHIARA,albergo,VIA DEGLI AMMIRATI. 24 ANG. VIA A.IMPERATORE,,4,,,ATTIVO,,,,,,Comune di Lecce
539,SUITE N.15,affittacamere,VIA MALENNIO 13-15,,,,,ATTIVO,,,,,,Comune di Lecce
540,SUITE PALACE CASTROMEDIANO,affittacamere,VICO VERNAZZA 4,,,,,ATTIVO,,,,,,Comune di Lecce
541,SWEET HOME LECCE CENTRO,casa_vacanza,VICO DEI RAINO' 15,,,,,ATTIVO,,,,,,Comune di Lecce
542,SWEET HOME LECCE VISTA DUOMO,casa_vacanza,VIALE FRANCESCO LO RE 105,,,,,ATTIVO,,,,,,Comune di Lecce
543,TEATRO ROMANO,casa_vacanza,VIA DEL TEATRO ROMANO 3,,,,,ATTIVO,,,,,,Comune di Lecce
544,TEATRO ROMANO,casa_vacanza,VIA DEL TEATRO ROMANO 5,,,,,ATTIVO,,,,,,Comune di Lecce
